Calories,Protein,Fat,Sodium,Fiber,Carbo,Sugars,Shelf,Potass,Vitamins
110.00000,2.00000,1.00000,260.00000,0.00000,21.00000,3.00000,2.00000,40.00000,25.00000
100.00000,4.00000,2.00000,150.00000,2.00000,12.00000,6.00000,2.00000,95.00000,25.00000
110.00000,2.00000,1.00000,180.00000,0.00000,12.00000,12.00000,2.00000,55.00000,25.00000
100.00000,4.00000,1.00000,0.00000,0.00000,16.00000,3.00000,2.00000,95.00000,25.00000
150.00000,4.00000,3.00000,95.00000,3.00000,16.00000,11.00000,3.00000,170.00000,25.00000
150.00000,4.00000,3.00000,150.00000,3.00000,16.00000,11.00000,3.00000,170.00000,25.00000
160.00000,3.00000,2.00000,150.00000,3.00000,17.00000,13.00000,3.00000,160.00000,25.00000
100.00000,2.00000,1.00000,220.00000,2.00000,15.00000,6.00000,1.00000,90.00000,25.00000
120.00000,2.00000,1.00000,190.00000,0.00000,15.00000,9.00000,2.00000,40.00000,25.00000
140.00000,3.00000,2.00000,220.00000,3.00000,21.00000,7.00000,3.00000,130.00000,25.00000
90.00000,3.00000,0.00000,170.00000,3.00000,18.00000,2.00000,3.00000,90.00000,25.00000
130.00000,3.00000,2.00000,170.00000,1.50000,13.50000,10.00000,3.00000,120.00000,25.00000
120.00000,3.00000,1.00000,200.00000,6.00000,11.00000,14.00000,3.00000,260.00000,25.00000
100.00000,3.00000,0.00000,320.00000,1.00000,20.00000,3.00000,3.00000,45.00000,100.00000
50.00000,1.00000,0.00000,0.00000,0.00000,13.00000,0.00000,3.00000,15.00000,0.00000
50.00000,2.00000,0.00000,0.00000,1.00000,10.00000,0.00000,3.00000,50.00000,0.00000
100.00000,4.00000,1.00000,135.00000,2.00000,14.00000,6.00000,3.00000,110.00000,25.00000
100.00000,5.00000,2.00000,0.00000,2.70000,-1.00000,-1.00000,1.00000,110.00000,0.00000
120.00000,3.00000,1.00000,210.00000,5.00000,14.00000,12.00000,2.00000,240.00000,25.00000
100.00000,3.00000,2.00000,140.00000,2.50000,10.50000,8.00000,3.00000,140.00000,25.00000
90.00000,2.00000,0.00000,0.00000,2.00000,15.00000,6.00000,3.00000,110.00000,25.00000
110.00000,1.00000,0.00000,240.00000,0.00000,23.00000,2.00000,1.00000,30.00000,25.00000
110.00000,2.00000,0.00000,290.00000,0.00000,22.00000,3.00000,1.00000,35.00000,25.00000
80.00000,2.00000,0.00000,0.00000,3.00000,16.00000,0.00000,1.00000,95.00000,0.00000
90.00000,3.00000,0.00000,0.00000,4.00000,19.00000,0.00000,1.00000,140.00000,0.00000
90.00000,3.00000,0.00000,0.00000,3.00000,20.00000,0.00000,1.00000,120.00000,0.00000
110.00000,2.00000,1.00000,70.00000,1.00000,9.00000,15.00000,2.00000,40.00000,25.00000
110.00000,6.00000,0.00000,230.00000,1.00000,16.00000,3.00000,1.00000,55.00000,25.00000
90.00000,2.00000,0.00000,15.00000,3.00000,15.00000,5.00000,2.00000,90.00000,25.00000
110.00000,2.00000,1.00000,200.00000,0.00000,21.00000,3.00000,3.00000,35.00000,100.00000
140.00000,3.00000,1.00000,190.00000,4.00000,15.00000,14.00000,3.00000,230.00000,100.00000
100.00000,3.00000,1.00000,200.00000,3.00000,16.00000,3.00000,3.00000,110.00000,100.00000
110.00000,2.00000,1.00000,250.00000,0.00000,21.00000,3.00000,3.00000,60.00000,25.00000
110.00000,1.00000,1.00000,140.00000,0.00000,13.00000,12.00000,2.00000,25.00000,25.00000
100.00000,3.00000,1.00000,230.00000,3.00000,17.00000,3.00000,1.00000,115.00000,25.00000
100.00000,3.00000,1.00000,200.00000,3.00000,17.00000,3.00000,1.00000,110.00000,25.00000
110.00000,2.00000,1.00000,200.00000,1.00000,16.00000,8.00000,1.00000,60.00000,25.00000
